date,jyo_cd,race_no,rank1_course,rank2_course,payout_2nd
2024-04-01,14,5,3,1,1000
2024-04-01,14,6,1,4,700
2024-04-01,14,7,1,5,600
2024-04-01,14,8,1,2,700
2024-04-01,14,9,3,4,4600
2024-04-01,14,10,1,2,500
2024-04-01,02,1,1,2,700
2024-04-01,02,2,3,6,4500
2024-04-01,02,3,1,4,1000
2024-04-01,02,4,1,3,1200
2024-04-01,02,5,1,4,600
2024-04-01,02,6,1,2,1000
2024-04-01,02,7,1,2,800
2024-04-01,02,8,1,2,600
2024-04-01,02,9,2,1,900
2024-04-01,02,10,2,1,800
2024-04-01,02,11,2,1,900
2024-04-01,02,12,1,5,1800
2024-04-01,24,1,3,1,1200
2024-04-01,24,2,4,5,8700
2024-04-01,24,3,1,4,1000
2024-04-01,24,4,1,4,1700
2024-04-01,24,5,1,2,800
2024-04-01,24,6,4,2,2600
2024-04-01,24,7,1,6,1000
2024-04-01,24,8,3,1,800
2024-04-01,24,9,1,6,1700
2024-04-01,24,10,1,4,900
2024-04-01,24,11,4,2,4000
2024-04-02,05,1,1,4,1500
2024-04-02,05,2,2,5,4000
2024-04-02,05,3,4,1,1300
2024-04-02,05,4,2,4,3900
2024-04-02,05,5,1,3,700
2024-04-02,05,6,1,2,500
2024-04-02,05,7,4,1,800
2024-04-02,05,8,1,2,700
2024-04-02,05,9,2,1,1000
2024-04-02,05,10,1,2,1100
2024-04-02,05,11,1,3,1300
2024-04-02,21,1,3,2,2000
2024-04-02,21,2,3,1,800
2024-04-02,21,3,1,3,800
2024-04-02,21,4,3,5,6300
2024-04-02,21,5,6,2,9300
2024-04-02,21,6,2,3,2400
2024-04-02,21,7,6,1,2900
2024-04-02,21,8,2,5,3700
2024-04-02,21,9,1,4,1000
2024-04-02,21,10,4,3,3400
2024-04-02,13,1,3,1,900
2024-04-02,13,2,1,6,1200
2024-04-02,13,3,1,4,900
2024-04-02,13,4,2,1,700
2024-04-02,13,5,1,5,1800
2024-04-02,13,6,1,4,1300
2024-04-02,13,7,1,5,1700
2024-04-02,13,8,2,1,900
2024-04-02,13,9,1,3,900
2024-04-02,13,10,1,6,1400
2024-04-02,13,11,1,6,2400
2024-04-02,17,1,5,2,2800
2024-04-02,17,2,1,4,1000
2024-04-02,17,3,1,5,1300
2024-04-02,17,4,1,5,1000
2024-04-02,17,5,6,1,2300
2024-04-02,17,6,1,5,900
2024-04-02,17,7,3,1,700
2024-04-02,17,8,1,2,500
2024-04-02,17,9,1,3,1000
2024-04-02,17,10,6,3,10100
2024-04-02,17,11,1,2,500
2024-04-02,17,12,4,2,3500
2024-04-02,18,1,1,2,700
2024-04-02,18,2,1,4,1300
2024-04-02,18,3,4,1,1500
2024-04-02,18,4,5,1,1100
2024-04-02,18,5,3,1,1100
2024-04-02,18,6,3,1,1100
2024-04-02,18,7,2,5,4300
2024-04-02,18,8,3,4,3200
2024-04-02,18,9,5,1,2200
2024-04-02,18,10,5,1,1600
2024-04-02,11,1,5,1,2100
2024-04-02,11,2,3,5,7200
2024-04-02,11,3,3,1,800
2024-04-02,11,4,1,5,900
2024-04-02,11,5,4,2,4200
2024-04-02,11,6,1,2,800
2024-04-02,11,7,3,1,1300
2024-04-02,11,8,5,1,1500
2024-04-02,11,9,4,3,7100
2024-04-02,11,10,1,2,800
2024-04-02,11,11,1,5,1700
2024-04-02,03,1,1,3,700
2024-04-02,03,2,6,4,9800
2024-04-02,03,3,6,1,2800
2024-04-02,03,4,4,1,1100
2024-04-02,03,5,5,1,1200
2024-04-02,03,6,3,1,1500
2024-04-02,03,7,1,3,800
2024-04-02,03,8,1,3,500
2024-04-02,03,9,1,3,700
2024-04-02,03,10,2,1,900
2024-04-02,03,11,1,2,1400
2024-04-02,12,1,1,4,1200
2024-04-02,12,2,1,3,900
2024-04-02,12,3,1,2,600
2024-04-02,12,4,6,1,1600
2024-04-02,12,5,1,6,1400
2024-04-02,12,6,1,4,1600
2024-04-02,12,7,1,3,500
2024-04-02,12,8,4,6,12000
2024-04-02,12,9,2,3,2600
2024-04-02,12,10,1,3,600
2024-04-02,12,11,1,6,1400
2024-04-02,12,12,4,1,1100
2024-04-02,08,1,1,3,1000
2024-04-02,08,2,4,3,4300
2024-04-02,08,3,6,2,4900
2024-04-02,08,4,1,2,600
2024-04-02,08,5,5,3,4200
2024-04-02,08,6,4,1,1100
2024-04-02,08,7,1,2,800
2024-04-02,08,8,1,2,1000
2024-04-02,08,9,3,2,2900
2024-04-02,08,10,3,1,1200
2024-04-02,08,11,3,1,1100
2024-04-03,08,1,2,1,1200
2024-04-03,08,2,3,2,2100
2024-04-03,08,3,4,1,1500
2024-04-03,08,4,3,1,1300
2024-04-03,08,5,2,1,600
2024-04-03,08,6,1,6,1900
2024-04-03,08,7,6,1,2600
2024-04-03,08,8,1,6,1600
2024-04-03,08,9,1,2,500
2024-04-03,08,10,1,2,600
2024-04-03,08,11,1,4,600
2024-04-03,08,12,1,3,800
2024-04-03,11,1,1,2,800
2024-04-03,11,2,1,2,400
2024-04-03,11,3,1,4,2300
2024-04-03,11,4,1,2,800
2024-04-03,11,5,3,1,900
2024-04-03,11,6,3,4,3100
2024-04-03,11,7,1,6,1400
2024-04-03,11,8,1,4,1100
2024-04-03,11,9,2,3,2200
2024-04-03,11,10,2,1,600
2024-04-03,12,1,1,2,700
2024-04-03,12,2,1,4,1000
2024-04-03,12,3,3,1,600
2024-04-03,12,4,4,1,1300
2024-04-03,12,5,1,4,1200
2024-04-03,12,6,5,1,2500
2024-04-03,12,7,3,1,1100
2024-04-03,12,8,1,5,1800
2024-04-03,12,9,5,1,1800
2024-04-03,12,10,1,3,500
2024-04-03,12,11,1,3,600
2024-04-03,07,1,1,4,1700
2024-04-03,07,2,1,5,1100
2024-04-03,07,3,2,1,600
2024-04-03,07,4,1,4,700
2024-04-03,07,5,1,2,800
2024-04-03,07,6,3,1,900
2024-04-03,07,7,5,1,2800
2024-04-03,07,8,1,5,1600
2024-04-03,07,9,4,2,3200
2024-04-03,07,10,1,3,700
2024-04-03,21,1,1,2,600
2024-04-03,21,2,1,4,1300
2024-04-03,21,3,1,3,400
2024-04-03,21,4,6,1,2100
2024-04-03,21,5,1,2,600
2024-04-03,21,6,1,2,600
2024-04-03,21,7,1,2,800
2024-04-03,21,8,1,2,800
2024-04-03,21,9,4,6,10100
2024-04-03,21,10,1,3,700
2024-04-03,21,11,1,2,600
2024-04-03,10,1,1,4,1200
2024-04-03,10,2,1,5,1400
2024-04-03,10,3,1,4,1100
2024-04-03,10,4,3,1,1000
2024-04-03,10,5,3,1,1400
2024-04-03,10,6,1,4,800
2024-04-03,10,7,3,1,800
2024-04-03,10,8,1,4,900
2024-04-03,10,9,1,3,900
2024-04-03,10,10,1,6,1000
2024-04-03,10,11,1,3,400
2024-04-03,02,1,1,4,600
2024-04-03,02,2,3,1,1300
2024-04-03,02,3,1,6,2300
2024-04-03,02,4,1,2,800
2024-04-03,02,5,2,5,2900
2024-04-03,02,6,1,6,1800
2024-04-03,02,7,1,5,1200
2024-04-03,02,8,3,1,1000
2024-04-03,02,9,5,1,1700
2024-04-03,02,10,3,1,900
2024-04-04,09,1,1,2,600
2024-04-04,09,2,1,2,900
2024-04-04,09,3,1,2,400
2024-04-04,09,4,1,4,900
2024-04-04,09,5,1,5,1200
2024-04-04,09,6,1,2,900
2024-04-04,09,7,4,6,6800
2024-04-04,09,8,4,2,7400
2024-04-04,09,9,1,3,700
2024-04-04,09,10,4,1,1100
2024-04-04,09,11,4,1,1600
2024-04-04,09,12,5,6,13000
2024-04-04,12,1,1,2,800
2024-04-04,12,2,1,3,500
2024-04-04,12,3,3,1,1000
2024-04-04,12,4,1,5,900
2024-04-04,12,5,3,6,10100
2024-04-04,12,6,1,3,1000
2024-04-04,12,7,1,2,800
2024-04-04,12,8,1,6,1000
2024-04-04,12,9,1,3,700
2024-04-04,12,10,1,2,1200
2024-04-04,11,1,1,3,600
2024-04-04,11,2,4,2,4500
2024-04-04,11,3,3,1,1400
2024-04-04,11,4,3,1,1200
2024-04-04,11,5,1,2,800
2024-04-04,11,6,3,1,1500
2024-04-04,11,7,6,1,2000
2024-04-04,11,8,1,6,1200
2024-04-04,11,9,2,1,800
2024-04-04,11,10,5,1,3600
2024-04-04,13,1,5,2,4600
2024-04-04,13,2,1,3,600
2024-04-04,13,3,1,2,700
2024-04-04,13,4,6,1,2700
2024-04-04,13,5,1,2,800
2024-04-04,13,6,1,2,700
2024-04-04,13,7,3,4,5400
2024-04-04,13,8,1,2,500
2024-04-04,13,9,1,2,500
2024-04-04,13,10,1,2,700
2024-04-04,20,1,1,6,1600
2024-04-04,20,2,2,1,600
2024-04-04,20,3,3,2,4300
2024-04-04,20,4,2,1,900
2024-04-04,20,5,3,1,800
2024-04-04,20,6,4,2,3600
2024-04-04,20,7,2,1,1300
2024-04-04,20,8,1,3,700
2024-04-04,20,9,1,3,800
2024-04-04,20,10,2,6,3400
2024-04-04,20,11,1,5,1400
2024-04-04,20,12,6,2,7700
2024-04-04,10,1,3,1,1500
2024-04-04,10,2,1,2,500
2024-04-04,10,3,1,2,600
2024-04-04,10,4,4,5,6100
2024-04-04,10,5,2,3,2100
2024-04-04,10,6,1,2,500
2024-04-04,10,7,1,2,500
2024-04-04,10,8,2,1,600
2024-04-04,10,9,1,4,1300
2024-04-04,10,10,1,4,1300
2024-04-04,10,11,1,5,1700
2024-04-04,10,12,3,2,2700
2024-04-04,07,1,4,1,1000
2024-04-04,07,2,2,3,1900
2024-04-04,07,3,4,1,1400
2024-04-04,07,4,1,5,1000
2024-04-04,07,5,4,1,1200
2024-04-04,07,6,4,1,1900
2024-04-04,07,7,1,6,1400
2024-04-04,07,8,1,2,700
2024-04-04,07,9,2,6,4600
2024-04-04,07,10,1,4,1000
2024-04-04,07,11,2,1,1200
2024-04-04,14,1,1,2,400
2024-04-04,14,2,1,2,600
2024-04-04,14,3,1,2,600
2024-04-04,14,4,1,2,400
2024-04-04,14,5,1,4,1000
2024-04-04,14,6,1,3,600
2024-04-04,14,7,2,3,1600
2024-04-04,14,8,3,1,1600
2024-04-04,14,9,1,5,1000
2024-04-04,14,10,1,4,1100
2024-04-04,14,11,1,2,1000
2024-04-04,14,12,1,4,1100
2024-04-04,08,1,1,2,500
2024-04-04,08,2,1,5,800
2024-04-04,08,3,1,2,400
2024-04-04,08,4,2,1,700
2024-04-04,08,5,1,2,600
2024-04-04,08,6,1,5,900
2024-04-04,08,7,1,2,700
2024-04-04,08,8,2,5,4400
2024-04-04,08,9,1,3,1300
2024-04-04,08,10,1,5,1300
2024-04-04,08,11,1,3,1000
2024-04-04,19,1,6,1,3100
2024-04-04,19,2,1,5,1400
2024-04-04,19,3,6,2,4400
2024-04-04,19,4,5,2,5100
2024-04-04,19,5,1,5,1500
2024-04-04,19,6,5,1,2000
2024-04-04,19,7,1,2,700
2024-04-04,19,8,1,2,700
2024-04-04,19,9,6,1,2500
2024-04-04,19,10,1,2,400
2024-04-04,19,11,2,5,3200
2024-04-04,19,12,6,1,2100
2024-04-04,04,1,1,6,1600
2024-04-04,04,2,1,4,700
2024-04-04,04,3,1,2,600
2024-04-04,04,4,4,1,1100
2024-04-04,04,5,1,5,1000
2024-04-04,04,6,1,6,1100
2024-04-04,04,7,1,3,600
2024-04-04,04,8,1,5,1100
2024-04-04,04,9,1,2,900
2024-04-04,04,10,1,2,900
2024-04-04,04,11,1,3,1100
2024-04-05,02,1,1,2,600
2024-04-05,02,2,2,4,2900
2024-04-05,02,3,1,3,1000
2024-04-05,02,4,3,2,3400
2024-04-05,02,5,1,4,1500
2024-04-05,02,6,3,1,1200
2024-04-05,02,7,5,1,1300
2024-04-05,02,8,6,2,5100
2024-04-05,02,9,1,2,600
2024-04-05,02,10,3,1,1100
2024-04-05,16,1,1,3,1400
2024-04-05,16,2,1,4,1600
2024-04-05,16,3,1,5,1100
2024-04-05,16,4,3,6,6400
2024-04-05,16,5,1,6,1800
2024-04-05,16,6,1,3,1200
2024-04-05,16,7,2,3,3400
2024-04-05,16,8,1,4,1700
2024-04-05,16,9,2,4,5000
2024-04-05,16,10,3,5,3900
2024-04-05,16,11,1,3,1300
2024-04-05,16,12,2,1,900
2024-04-05,18,1,1,3,900
2024-04-05,18,2,5,1,1300
2024-04-05,18,3,3,1,1700
2024-04-05,18,4,1,5,1000
2024-04-05,18,5,4,1,800
2024-04-05,18,6,1,3,1300
2024-04-05,18,7,1,2,600
2024-04-05,18,8,1,2,600
2024-04-05,18,9,3,2,2600
2024-04-05,18,10,1,6,1300
2024-04-05,24,1,5,1,1400
2024-04-05,24,2,1,2,400
2024-04-05,24,3,1,4,1300
2024-04-05,24,4,1,2,800
2024-04-05,24,5,1,5,1200
2024-04-05,24,6,4,2,3600
2024-04-05,24,7,1,2,700
2024-04-05,24,8,2,4,5600
2024-04-05,24,9,1,3,600
2024-04-05,24,10,1,2,1000
2024-04-05,24,11,1,3,600
2024-04-05,13,1,3,1,1200
2024-04-05,13,2,1,2,700
2024-04-05,13,3,1,2,700
2024-04-05,13,4,1,6,1500
2024-04-05,13,5,1,3,600
2024-04-05,13,6,1,3,800
2024-04-05,13,7,1,2,600
2024-04-05,13,8,2,4,3300
2024-04-05,13,9,4,1,1800
2024-04-05,13,10,4,2,4000
2024-04-05,13,11,1,5,1300
2024-04-05,13,12,2,1,800
2024-04-05,10,1,5,1,1900
2024-04-05,10,2,1,3,600
2024-04-05,10,3,4,1,1200
2024-04-05,10,4,3,1,1300
2024-04-05,10,5,2,1,1200
2024-04-05,10,6,1,2,400
2024-04-05,10,7,5,1,1400
2024-04-05,10,8,1,3,600
2024-04-05,10,9,5,1,1700
2024-04-05,10,10,2,1,700
2024-04-05,12,1,2,1,1200
2024-04-05,12,2,1,3,600
2024-04-05,12,3,5,1,1500
2024-04-05,12,4,1,2,500
2024-04-05,12,5,2,4,2100
2024-04-05,12,6,2,1,1200
2024-04-05,12,7,1,4,1000
2024-04-05,12,8,1,2,500
2024-04-05,12,9,5,1,2200
2024-04-05,12,10,2,1,900
2024-04-05,12,11,3,5,3400
2024-04-05,22,1,1,2,600
2024-04-05,22,2,1,2,1000
2024-04-05,22,3,3,1,900
2024-04-05,22,4,2,1,700
2024-04-05,22,5,1,3,600
2024-04-05,22,6,3,1,1100
2024-04-05,22,7,3,2,3000
2024-04-05,22,8,1,3,900
2024-04-05,22,9,3,1,900
2024-04-05,22,10,1,3,600
2024-04-05,22,11,1,5,1600
2024-04-05,22,12,1,3,900
2024-04-06,13,1,1,2,1200
2024-04-06,13,2,5,1,1500
2024-04-06,13,3,1,3,700
2024-04-06,13,4,2,3,2700
2024-04-06,13,5,1,3,600
2024-04-06,13,6,1,2,500
2024-04-06,13,7,1,2,500
2024-04-06,13,8,2,1,600
2024-04-06,13,9,5,1,2300
2024-04-06,13,10,2,1,1100
2024-04-06,13,11,1,2,600
2024-04-06,21,1,2,3,2600
2024-04-06,21,2,1,4,700
2024-04-06,21,3,2,1,700
2024-04-06,21,4,4,1,1400
2024-04-06,21,5,1,3,900
2024-04-06,21,6,1,2,900
2024-04-06,21,7,1,2,500
2024-04-06,21,8,2,1,1200
2024-04-06,21,9,1,4,800
2024-04-06,21,10,1,4,1100
2024-04-06,21,11,6,3,5900
2024-04-06,20,1,2,1,900
2024-04-06,20,2,4,2,3800
2024-04-06,20,3,1,2,400
2024-04-06,20,4,1,2,800
2024-04-06,20,5,1,2,500
2024-04-06,20,6,3,1,1700
2024-04-06,20,7,1,2,600
2024-04-06,20,8,4,1,1500
2024-04-06,20,9,3,1,1000
2024-04-06,20,10,5,1,2300
2024-04-06,20,11,6,1,2300
2024-04-06,01,1,5,3,4100
2024-04-06,01,2,6,1,2300
2024-04-06,01,3,1,5,1600
2024-04-06,01,4,1,5,1200
2024-04-06,01,5,1,3,900
2024-04-06,01,6,1,3,700
2024-04-06,01,7,1,4,900
2024-04-06,01,8,6,4,10900
2024-04-06,01,9,2,1,600
2024-04-06,01,10,3,1,900
2024-04-06,01,11,1,2,600
2024-04-06,08,1,3,1,800
2024-04-06,08,2,4,1,1400
2024-04-06,08,3,4,2,3300
2024-04-06,08,4,5,4,5800
2024-04-06,08,5,2,5,6100
2024-04-06,08,6,5,1,1400
2024-04-06,08,7,1,2,600
2024-04-06,08,8,1,6,1500
2024-04-06,08,9,1,5,1300
2024-04-06,08,10,1,3,800
2024-04-06,17,1,5,2,5100
2024-04-06,17,2,4,3,3900
2024-04-06,17,3,1,2,700
2024-04-06,17,4,4,2,2900
2024-04-06,17,5,2,4,3400
2024-04-06,17,6,1,6,2200
2024-04-06,17,7,4,1,1200
2024-04-06,17,8,1,3,1000
2024-04-06,17,9,4,1,1700
2024-04-06,17,10,1,2,600
2024-04-06,19,1,1,2,600
2024-04-06,19,2,3,1,1400
2024-04-06,19,3,5,1,3200
2024-04-06,19,4,4,3,3900
2024-04-06,19,5,1,3,900
2024-04-06,19,6,5,1,1800
2024-04-06,19,7,1,2,800
2024-04-06,19,8,5,3,6100
2024-04-06,19,9,4,1,1400
2024-04-06,19,10,3,1,900
2024-04-06,19,11,1,3,500
2024-04-06,11,1,4,1,1400
2024-04-06,11,2,1,3,800
2024-04-06,11,3,1,4,600
2024-04-06,11,4,1,5,1100
2024-04-06,11,5,1,6,1500
2024-04-06,11,6,1,2,800
2024-04-06,11,7,1,4,600
2024-04-06,11,8,4,1,1200
2024-04-06,11,9,3,1,800
2024-04-06,11,10,1,4,1300
2024-04-06,11,11,1,5,1500
2024-04-06,11,12,1,3,800
2024-04-06,02,1,1,2,800
2024-04-06,02,2,6,1,4100
2024-04-06,02,3,4,1,1300
2024-04-06,02,4,5,1,1200
2024-04-06,02,5,4,1,1500
2024-04-06,02,6,3,1,1000
2024-04-06,02,7,4,1,1000
2024-04-06,02,8,2,6,5500
2024-04-06,02,9,1,4,800
2024-04-06,02,10,1,2,600
2024-04-06,02,11,1,5,1100
2024-04-06,02,12,1,3,500
2024-04-06,23,1,1,3,700
2024-04-06,23,2,1,4,500
2024-04-06,23,3,2,4,4100
2024-04-06,23,4,4,3,5700
2024-04-06,23,5,1,3,600
2024-04-06,23,6,1,4,800
2024-04-06,23,7,1,3,1100
2024-04-06,23,8,6,1,2400
2024-04-06,23,9,1,5,2000
2024-04-06,23,10,3,1,1400
2024-04-06,23,11,1,3,700
2024-04-06,23,12,2,1,900
2024-04-06,12,1,2,1,800
2024-04-06,12,2,3,2,3100
2024-04-06,12,3,1,3,1100
2024-04-06,12,4,1,2,600
2024-04-06,12,5,2,1,1000
2024-04-06,12,6,2,3,4200
2024-04-06,12,7,2,3,2600
2024-04-06,12,8,2,1,700
2024-04-06,12,9,6,1,3500
2024-04-06,12,10,1,4,600
2024-04-06,12,11,1,5,1700
2024-04-07,03,1,1,4,1400
2024-04-07,03,2,4,1,1800
2024-04-07,03,3,1,3,800
2024-04-07,03,4,1,2,400
2024-04-07,03,5,1,6,1200
2024-04-07,03,6,3,5,2800
2024-04-07,03,7,2,1,700
2024-04-07,03,8,2,1,1200
2024-04-07,03,9,2,1,1000
2024-04-07,03,10,1,3,700
2024-04-07,03,11,1,2,400
2024-04-07,15,1,1,2,800
2024-04-07,15,2,1,5,900
2024-04-07,15,3,6,4,7000
2024-04-07,15,4,1,3,600
2024-04-07,15,5,1,2,600
2024-04-07,15,6,1,5,1600
2024-04-07,15,7,1,2,800
2024-04-07,15,8,1,4,500
2024-04-07,15,9,1,5,2500
2024-04-07,15,10,2,1,1300
2024-04-07,01,1,1,4,800
2024-04-07,01,2,1,2,800
2024-04-07,01,3,1,2,500
2024-04-07,01,4,4,1,1100
2024-04-07,01,5,1,6,1300
2024-04-07,01,6,1,3,400
2024-04-07,01,7,2,1,700
2024-04-07,01,8,4,2,7700
2024-04-07,01,9,1,3,500
2024-04-07,01,10,5,1,2000
2024-04-07,02,1,1,4,900
2024-04-07,02,2,1,2,900
2024-04-07,02,3,3,1,1000
2024-04-07,02,4,3,1,800
2024-04-07,02,5,1,2,600
2024-04-07,02,6,2,1,1100
2024-04-07,02,7,1,3,900
2024-04-07,02,8,1,4,1000
2024-04-07,02,9,1,3,800
2024-04-07,02,10,1,6,900
2024-04-07,02,11,1,3,800
2024-04-07,02,12,2,3,3400
2024-04-07,17,1,1,4,900
2024-04-07,17,2,1,2,500
2024-04-07,17,3,1,4,1100
2024-04-07,17,4,3,2,2400
2024-04-07,17,5,1,5,900
2024-04-07,17,6,6,4,11000
2024-04-07,17,7,2,1,800
2024-04-07,17,8,2,3,2300
2024-04-07,17,9,5,1,1800
2024-04-07,17,10,2,1,900
2024-04-07,19,1,1,5,1200
2024-04-07,19,2,2,4,2800
2024-04-07,19,3,1,3,700
2024-04-07,19,4,2,4,4300
2024-04-07,19,5,1,4,1600
2024-04-07,19,6,1,3,700
2024-04-07,19,7,1,2,600
2024-04-07,19,8,5,1,1400
2024-04-07,19,9,2,4,3300
2024-04-07,19,10,3,1,700
2024-04-07,20,1,2,3,2500
2024-04-07,20,2,1,5,1100
2024-04-07,20,3,1,2,800
2024-04-07,20,4,1,3,700
2024-04-07,20,5,2,1,900
2024-04-07,20,6,1,2,1000
2024-04-07,20,7,1,6,1700
2024-04-07,20,8,1,2,600
2024-04-07,20,9,6,2,3700
2024-04-07,20,10,3,1,1300
2024-04-07,23,1,1,3,800
2024-04-07,23,2,3,1,2100
2024-04-07,23,3,4,5,6200
2024-04-07,23,4,3,1,1300
2024-04-07,23,5,6,2,7300
2024-04-07,23,6,1,3,1200
2024-04-07,23,7,1,3,1000
2024-04-07,23,8,1,3,500
2024-04-07,23,9,4,6,6500
2024-04-07,23,10,3,1,700
2024-04-07,13,1,1,2,500
2024-04-07,13,2,1,2,1000
2024-04-07,13,3,2,4,2100
2024-04-07,13,4,3,1,1200
2024-04-07,13,5,1,2,700
2024-04-07,13,6,1,2,500
2024-04-07,13,7,2,1,1000
2024-04-07,13,8,1,2,900
2024-04-07,13,9,1,4,1300
2024-04-07,13,10,1,6,2000
2024-04-07,13,11,5,1,1100
2024-04-08,22,1,1,2,700
2024-04-08,22,2,6,5,17200
2024-04-08,22,3,1,3,800
2024-04-08,22,4,1,6,1400
2024-04-08,22,5,3,1,1400
2024-04-08,22,6,1,2,700
2024-04-08,22,7,1,2,700
2024-04-08,22,8,2,1,600
2024-04-08,22,9,1,5,1300
2024-04-08,22,10,1,3,700
2024-04-08,21,1,1,4,1200
2024-04-08,21,2,3,1,1000
2024-04-08,21,3,1,5,2100
2024-04-08,21,4,3,1,1000
2024-04-08,21,5,2,1,800
2024-04-08,21,6,1,3,700
2024-04-08,21,7,1,5,1000
2024-04-08,21,8,1,6,1200
2024-04-08,21,9,1,2,500
2024-04-08,21,10,1,5,900
2024-04-08,03,1,1,4,1100
2024-04-08,03,2,5,1,1600
2024-04-08,03,3,1,4,900
2024-04-08,03,4,1,3,1200
2024-04-08,03,5,1,2,700
2024-04-08,03,6,2,3,2600
2024-04-08,03,7,3,1,1600
2024-04-08,03,8,1,4,1200
2024-04-08,03,9,3,4,5900
2024-04-08,03,10,1,4,1000
2024-04-08,03,11,4,1,1400
2024-04-08,01,1,2,1,900
2024-04-08,01,2,1,3,900
2024-04-08,01,3,1,3,1600
2024-04-08,01,4,1,4,800
2024-04-08,01,5,5,3,2900
2024-04-08,01,6,2,1,1000
2024-04-08,01,7,4,3,6900
2024-04-08,01,8,2,1,600
2024-04-08,01,9,1,5,1400
2024-04-08,01,10,5,1,1300
2024-04-08,05,1,4,1,1300
2024-04-08,05,2,1,5,600
2024-04-08,05,3,4,5,5900
2024-04-08,05,4,2,1,1100
2024-04-08,05,5,5,3,4700
2024-04-08,05,6,6,1,2100
2024-04-08,05,7,1,3,600
2024-04-08,05,8,1,2,600
2024-04-08,05,9,4,1,1400
2024-04-08,05,10,1,2,500
2024-04-08,19,1,4,1,1600
2024-04-08,19,2,6,3,3900
2024-04-08,19,3,2,1,1000
2024-04-08,19,4,1,4,900
2024-04-08,19,5,3,2,2300
2024-04-08,19,6,2,1,900
2024-04-08,19,7,6,1,2300
2024-04-08,19,8,2,1,900
2024-04-08,19,9,3,5,5800
2024-04-08,19,10,2,1,900
2024-04-08,20,1,5,3,3500
2024-04-08,20,2,1,3,600
2024-04-08,20,3,4,1,2800
2024-04-08,20,4,1,2,700
2024-04-08,20,5,1,4,1100
2024-04-08,20,6,1,6,1900
2024-04-08,20,7,1,2,700
2024-04-08,20,8,3,1,1300
2024-04-08,20,9,1,3,700
2024-04-08,20,10,1,2,700
2024-04-08,20,11,1,5,1200
2024-04-08,20,12,5,6,12300
2024-04-08,07,1,4,1,1900
2024-04-08,07,2,1,5,1100
2024-04-08,07,3,1,2,700
2024-04-08,07,4,2,1,800
2024-04-08,07,5,1,6,1600
2024-04-08,07,6,5,3,5000
2024-04-08,07,7,2,4,3600
2024-04-08,07,8,1,2,600
2024-04-08,07,9,1,4,1000
2024-04-08,07,10,1,5,800
2024-04-09,09,1,1,3,600
2024-04-09,09,2,1,4,1200
2024-04-09,09,3,1,5,800
2024-04-09,09,4,1,4,900
2024-04-09,09,5,1,3,1000
2024-04-09,09,6,4,1,1600
2024-04-09,09,7,2,3,3000
2024-04-09,09,8,4,3,4400
2024-04-09,09,9,1,2,700
2024-04-09,09,10,2,1,800
2024-04-09,09,11,1,3,700
2024-04-09,08,1,1,4,900
2024-04-09,08,2,1,2,500
2024-04-09,08,3,2,3,3200
