jyo_cd,course,mkt_avg_payout_90d,mkt_win_prob_90d,n_90d,mkt_avg_payout_180d,mkt_win_prob_180d,n_180d
09,2,1888.2,0.05296,68,1825.6,0.054776,121
09,3,2245.7,0.04453,46,2407.1,0.041544,99
09,4,2172.0,0.046041,25,2228.8,0.044867,59
09,5,3082.4,0.032443,34,3185.0,0.031397,60
09,6,4185.7,0.023891,14,4952.0,0.020194,25
10,1,798.7,0.125205,259,876.7,0.114058,522
10,2,2011.4,0.049716,70,1959.5,0.051033,121
10,3,2320.9,0.043087,55,2418.8,0.041343,109
10,4,3277.0,0.030516,47,3252.8,0.030743,80
10,5,4135.8,0.024179,26,4108.4,0.02434,51
10,6,5291.3,0.018899,15,5605.3,0.01784,32
11,1,760.2,0.131552,257,841.8,0.118795,492
11,2,1961.6,0.050979,76,2084.6,0.04797,138
11,3,1972.2,0.050704,58,2028.2,0.049304,120
11,4,2773.9,0.036051,49,2772.5,0.036068,83
11,5,5054.7,0.019783,38,4469.9,0.022372,67
11,6,5766.4,0.017342,11,4972.5,0.020111,28
12,1,763.2,0.131034,250,836.2,0.119588,414
12,2,2501.7,0.039973,60,2233.3,0.044776,96
12,3,2220.3,0.045039,66,2218.0,0.045085,102
12,4,3426.7,0.029183,30,3037.3,0.032924,51
12,5,3254.1,0.030731,27,3483.2,0.02871,38
12,6,4279.0,0.02337,10,4373.7,0.022864,27
13,1,739.9,0.135156,261,832.8,0.120084,440
13,2,1979.5,0.050518,59,1838.6,0.05439,106
13,3,2282.1,0.04382,58,2261.7,0.044214,82
13,4,3374.0,0.029639,43,3104.1,0.032216,69
13,5,5123.0,0.01952,33,4512.9,0.022159,59
13,6,7928.1,0.012613,16,6450.0,0.015504,29
14,1,815.1,0.122689,290,873.2,0.114517,498
14,2,2373.5,0.042132,86,2072.6,0.048248,149
14,3,2560.2,0.03906,63,2354.5,0.042471,108
14,4,2904.4,0.03443,52,2852.7,0.035054,84
14,5,3262.9,0.030648,31,3303.1,0.030274,48
14,6,5181.8,0.019298,33,4795.8,0.020851,48
15,1,744.0,0.134409,225,838.9,0.119197,457
15,2,1945.2,0.051407,61,1746.1,0.057271,112
15,3,2398.5,0.041693,40,2328.9,0.042939,81
15,4,2296.9,0.043537,29,2377.8,0.042056,49
15,5,3425.3,0.029194,32,3196.3,0.031286,51
15,6,4397.8,0.022739,23,4169.7,0.023982,38
16,1,845.3,0.118295,262,880.8,0.113539,479
16,2,1879.7,0.053199,77,1910.3,0.052348,140
16,3,2413.5,0.041433,62,2297.5,0.043526,103
16,4,3383.9,0.029552,41,3342.8,0.029915,64
16,5,3739.1,0.026744,23,3870.0,0.02584,40
16,6,5011.8,0.019953,17,4705.7,0.021251,35
17,1,839.0,0.119184,260,880.0,0.113633,428
17,2,2024.6,0.049392,65,1939.2,0.051567,130
17,3,2583.4,0.038709,56,2446.7,0.040871,85
17,4,3251.0,0.03076,41,3149.9,0.031747,72
17,5,4090.3,0.024448,32,4041.2,0.024745,58
17,6,2835.0,0.035273,6,6429.0,0.015554,21
18,1,801.2,0.124808,284,869.4,0.115027,514
18,2,2267.0,0.044111,70,2019.9,0.049507,135
18,3,3218.0,0.031075,40,2696.1,0.037091,97
18,4,3225.1,0.031007,49,2705.8,0.036957,91
18,5,3515.0,0.02845,20,3410.4,0.029322,48
18,6,4302.7,0.023241,15,4621.5,0.021638,39
19,1,875.6,0.114211,219,900.8,0.111013,442
19,2,2036.8,0.049096,57,2007.3,0.049819,124
19,3,2552.3,0.039181,53,2494.2,0.040092,92
19,4,3734.9,0.026775,47,3449.3,0.028992,82
19,5,3827.7,0.026125,22,3952.1,0.025303,52
19,6,6912.1,0.014467,14,5537.7,0.018058,31
20,1,831.0,0.120338,272,872.1,0.114671,457
20,2,1810.0,0.055249,71,1904.7,0.052502,130
20,3,2688.4,0.037197,44,2570.0,0.038911,77
20,4,3052.4,0.032761,37,2876.5,0.034765,62
20,5,4487.1,0.022286,24,4146.3,0.024118,43
20,6,5252.3,0.019039,22,4598.6,0.021746,37
21,1,789.8,0.126621,249,843.8,0.118515,458
21,2,1843.1,0.054256,58,1907.7,0.052419,117
21,3,1905.8,0.052471,50,2177.8,0.045918,86
21,4,2416.0,0.041392,42,2666.7,0.037499,70
21,5,3341.2,0.029929,25,3849.5,0.025977,41
21,6,8244.4,0.012129,18,7010.7,0.014264,28
22,1,874.1,0.114401,255,875.6,0.114206,410
22,2,1584.8,0.063098,66,1646.9,0.060719,98
22,3,2108.9,0.047419,44,2149.3,0.046528,81
22,4,3462.6,0.02888,38,3506.4,0.028519,59
22,5,4237.2,0.0236,25,3741.1,0.02673,47
22,6,3729.3,0.026814,15,4826.4,0.020719,28
23,1,789.3,0.126695,227,845.8,0.118227,403
23,2,1939.0,0.051573,69,2009.5,0.049764,115
23,3,2768.6,0.036119,43,2721.4,0.036745,91
23,4,3068.2,0.032592,39,3147.0,0.031776,63
23,5,4255.8,0.023497,31,3804.5,0.026285,51
23,6,4660.6,0.021456,16,4655.0,0.021482,34
24,1,863.5,0.115804,252,861.1,0.116135,498
24,2,1982.9,0.050431,76,1904.1,0.052518,146
24,3,2224.4,0.044957,62,2085.9,0.047941,127
24,4,2997.8,0.033358,45,2996.5,0.033373,85
24,5,3247.1,0.030797,31,3385.3,0.02954,57
24,6,3703.1,0.027005,13,3484.3,0.0287,23
