jyo_cd,motor_no,motor_races,motor_avg_rank,motor_win_count,motor_top2_count,motor_win_pct,motor_top2_pct
2,29,185,3.27,41,75,22.2,40.5
2,30,203,3.58,29,59,14.3,29.1
2,31,219,3.28,42,91,19.2,41.6
2,32,218,3.38,41,77,18.8,35.3
2,33,201,3.54,30,61,14.9,30.3
2,34,175,3.57,27,56,15.4,32.0
2,35,184,3.48,32,56,17.4,30.4
2,36,212,3.56,25,68,11.8,32.1
2,37,190,3.37,35,68,18.4,35.8
2,38,220,3.29,34,82,15.5,37.3
2,39,195,3.47,31,71,15.9,36.4
2,40,216,3.39,31,75,14.4,34.7
2,41,182,3.64,23,53,12.6,29.1
2,42,191,3.52,30,64,15.7,33.5
2,43,220,3.55,33,72,15.0,32.7
2,44,227,3.43,40,77,17.6,33.9
2,45,206,3.44,46,67,22.3,32.5
2,46,191,3.36,32,79,16.8,41.4
2,47,218,3.62,33,70,15.1,32.1
2,48,191,3.36,40,73,20.9,38.2
2,49,213,3.69,32,64,15.0,30.0
2,50,244,3.66,36,70,14.8,28.7
2,51,188,3.48,34,62,18.1,33.0
2,52,198,3.4,28,68,14.1,34.3
2,53,196,3.46,34,62,17.3,31.6
2,54,219,3.42,37,81,16.9,37.0
2,55,194,3.61,31,60,16.0,30.9
2,56,232,3.44,40,83,17.2,35.8
2,57,196,3.58,31,60,15.8,30.6
2,58,209,3.44,34,67,16.3,32.1
2,59,218,3.64,34,68,15.6,31.2
2,60,210,3.7,32,61,15.2,29.0
2,61,221,3.43,37,76,16.7,34.4
2,62,222,3.68,37,68,16.7,30.6
2,63,222,3.28,46,84,20.7,37.8
2,64,207,3.6,32,62,15.5,30.0
2,65,221,3.51,33,67,14.9,30.3
2,66,215,3.59,39,65,18.1,30.2
2,67,205,3.63,29,63,14.1,30.7
2,68,196,3.59,25,63,12.8,32.1
2,69,190,3.79,23,51,12.1,26.8
2,70,208,3.43,35,77,16.8,37.0
2,71,213,3.52,32,72,15.0,33.8
2,72,187,3.5,28,56,15.0,29.9
2,73,221,3.48,36,74,16.3,33.5
2,74,200,3.36,36,65,18.0,32.5
2,75,230,3.42,41,79,17.8,34.3
2,76,211,3.46,40,78,19.0,37.0
2,77,202,3.7,26,64,12.9,31.7
2,78,200,3.58,24,65,12.0,32.5
2,79,215,3.52,45,72,20.9,33.5
3,1,208,3.6,33,69,15.9,33.2
3,2,165,3.48,25,54,15.2,32.7
3,3,201,3.32,37,68,18.4,33.8
3,4,218,3.48,36,74,16.5,33.9
3,5,210,3.47,29,66,13.8,31.4
3,6,196,3.55,28,66,14.3,33.7
3,7,190,3.29,44,69,23.2,36.3
3,8,197,3.6,35,60,17.8,30.5
3,9,175,3.68,20,48,11.4,27.4
3,10,192,3.47,33,62,17.2,32.3
3,11,204,3.55,35,66,17.2,32.4
3,12,201,3.6,35,64,17.4,31.8
3,13,205,3.48,38,67,18.5,32.7
3,14,219,3.63,37,68,16.9,31.1
3,15,230,3.6,43,68,18.7,29.6
3,16,194,3.51,35,65,18.0,33.5
3,17,228,3.52,36,74,15.8,32.5
3,18,187,3.73,23,51,12.3,27.3
3,19,230,3.59,42,77,18.3,33.5
3,20,221,3.6,37,70,16.7,31.7
3,21,236,3.33,48,87,20.3,36.9
3,22,207,3.2,39,87,18.8,42.0
3,23,178,3.37,36,67,20.2,37.6
3,24,214,3.44,37,76,17.3,35.5
3,25,164,3.48,34,53,20.7,32.3
3,26,223,3.64,37,68,16.6,30.5
3,27,221,3.38,39,73,17.6,33.0
3,28,201,3.58,35,62,17.4,30.8
3,29,215,3.34,36,77,16.7,35.8
3,30,191,3.39,44,67,23.0,35.1
3,31,211,3.57,30,64,14.2,30.3
3,32,200,3.38,41,79,20.5,39.5
3,33,178,3.51,30,55,16.9,30.9
3,34,191,3.41,37,63,19.4,33.0
3,35,207,3.48,37,69,17.9,33.3
3,36,226,3.53,40,71,17.7,31.4
3,37,205,3.38,39,78,19.0,38.0
3,38,225,3.36,37,81,16.4,36.0
3,39,203,3.39,35,72,17.2,35.5
3,40,215,3.46,34,78,15.8,36.3
3,41,188,3.54,27,60,14.4,31.9
3,42,190,3.51,28,64,14.7,33.7
3,43,217,3.66,28,63,12.9,29.0
3,44,210,3.4,39,71,18.6,33.8
3,45,190,3.64,25,58,13.2,30.5
3,46,223,3.47,33,75,14.8,33.6
3,47,226,3.27,44,90,19.5,39.8
3,48,189,3.62,26,62,13.8,32.8
3,49,192,3.77,27,48,14.1,25.0
3,50,216,3.5,29,76,13.4,35.2
3,51,189,3.48,32,67,16.9,35.4
3,52,219,3.53,34,69,15.5,31.5
3,53,210,3.38,34,78,16.2,37.1
3,54,222,3.4,48,82,21.6,36.9
3,55,216,3.64,23,69,10.6,31.9
3,56,204,3.76,24,58,11.8,28.4
3,57,186,3.44,29,62,15.6,33.3
3,58,179,3.32,36,67,20.1,37.4
3,59,184,3.53,29,61,15.8,33.2
3,60,203,3.47,34,75,16.7,36.9
3,61,208,3.49,31,67,14.9,32.2
3,62,207,3.26,45,83,21.7,40.1
3,63,221,3.51,40,71,18.1,32.1
3,64,174,3.43,35,63,20.1,36.2
3,65,217,3.59,39,71,18.0,32.7
3,66,194,3.4,39,69,20.1,35.6
3,67,206,3.57,30,63,14.6,30.6
3,68,208,3.54,36,64,17.3,30.8
3,69,181,3.61,33,57,18.2,31.5
3,70,201,3.58,28,60,13.9,29.9
3,71,221,3.6,34,70,15.4,31.7
3,72,198,3.36,37,70,18.7,35.4
3,73,200,3.64,32,61,16.0,30.5
3,74,215,3.5,27,77,12.6,35.8
3,75,199,3.56,26,58,13.1,29.1
3,76,201,3.59,23,64,11.4,31.8
3,77,234,3.65,35,72,15.0,30.8
3,78,201,3.54,25,66,12.4,32.8
3,79,219,3.39,40,86,18.3,39.3
4,1,214,3.5,37,76,17.3,35.5
4,2,200,3.32,36,77,18.0,38.5
4,3,191,3.46,31,64,16.2,33.5
4,4,210,3.45,37,72,17.6,34.3
4,5,215,3.25,50,81,23.3,37.7
4,6,212,3.45,35,72,16.5,34.0
4,7,199,3.65,24,54,12.1,27.1
4,8,218,3.51,31,68,14.2,31.2
4,9,179,3.7,26,54,14.5,30.2
4,10,196,3.49,33,71,16.8,36.2
4,11,225,3.43,45,72,20.0,32.0
4,12,187,3.42,28,68,15.0,36.4
4,13,173,3.64,28,53,16.2,30.6
4,14,192,3.57,31,63,16.1,32.8
4,15,198,3.48,30,66,15.2,33.3
4,16,203,3.61,28,56,13.8,27.6
4,17,183,3.67,23,56,12.6,30.6
4,18,213,3.43,38,76,17.8,35.7
4,19,186,3.43,34,70,18.3,37.6
4,20,191,3.5,38,69,19.9,36.1
4,21,218,3.34,39,76,17.9,34.9
4,22,196,3.27,41,75,20.9,38.3
4,23,182,3.48,32,63,17.6,34.6
4,24,195,3.69,26,60,13.3,30.8
4,25,188,3.34,34,76,18.1,40.4
4,26,205,3.63,28,59,13.7,28.8
4,27,212,3.43,44,79,20.8,37.3
4,28,210,3.55,38,69,18.1,32.9
4,29,205,3.33,47,80,22.9,39.0
4,30,208,3.71,32,58,15.4,27.9
4,31,226,3.43,37,76,16.4,33.6
4,32,194,3.5,33,64,17.0,33.0
4,33,196,3.47,37,68,18.9,34.7
4,34,247,3.49,28,80,11.3,32.4
4,35,206,3.47,27,65,13.1,31.6
4,36,220,3.4,42,82,19.1,37.3
4,37,239,3.61,38,67,15.9,28.0
4,38,191,3.51,27,60,14.1,31.4
4,39,193,3.44,33,68,17.1,35.2
4,40,241,3.46,45,84,18.7,34.9
4,41,199,3.46,36,69,18.1,34.7
4,42,198,3.45,30,63,15.2,31.8
4,43,191,3.65,25,55,13.1,28.8
4,44,210,3.53,31,69,14.8,32.9
4,45,206,3.66,28,62,13.6,30.1
4,46,201,3.62,24,64,11.9,31.8
4,47,194,3.35,27,77,13.9,39.7
4,48,196,3.47,32,68,16.3,34.7
4,49,166,3.4,28,64,16.9,38.6
4,50,180,3.66,24,53,13.3,29.4
4,51,201,3.53,34,65,16.9,32.3
4,52,203,3.57,30,60,14.8,29.6
4,53,183,3.49,36,59,19.7,32.2
4,54,196,3.33,43,77,21.9,39.3
4,55,224,3.82,34,58,15.2,25.9
4,56,221,3.42,38,73,17.2,33.0
4,57,201,3.58,27,64,13.4,31.8
4,58,216,3.52,29,66,13.4,30.6
4,59,220,3.58,35,66,15.9,30.0
4,60,201,3.65,31,59,15.4,29.4
4,61,198,3.35,38,76,19.2,38.4
4,62,175,3.58,32,67,18.3,38.3
4,63,216,3.55,36,65,16.7,30.1
4,64,212,3.42,36,73,17.0,34.4
4,65,211,3.73,29,56,13.7,26.5
4,66,231,3.3,46,90,19.9,39.0
4,67,180,3.48,26,56,14.4,31.1
4,68,259,3.49,53,89,20.5,34.4
4,69,189,3.36,41,68,21.7,36.0
4,70,197,3.38,38,66,19.3,33.5
4,71,223,3.72,34,64,15.2,28.7
4,72,219,3.59,33,73,15.1,33.3
4,73,228,3.39,42,83,18.4,36.4
4,74,229,3.62,32,67,14.0,29.3
4,75,201,3.43,39,71,19.4,35.3
4,76,224,3.45,37,80,16.5,35.7
4,77,212,3.35,37,80,17.5,37.7
4,78,189,3.59,34,55,18.0,29.1
4,79,183,3.47,34,63,18.6,34.4
5,1,221,3.37,36,88,16.3,39.8
5,2,207,3.33,43,75,20.8,36.2
5,3,233,3.58,37,77,15.9,33.0
5,4,224,3.47,39,77,17.4,34.4
5,5,215,3.56,39,72,18.1,33.5
5,6,223,3.3,43,84,19.3,37.7
5,7,215,3.48,39,72,18.1,33.5
5,8,250,3.63,33,75,13.2,30.0
5,9,226,3.57,33,69,14.6,30.5
5,10,252,3.44,43,88,17.1,34.9
5,11,248,3.6,39,82,15.7,33.1
5,12,219,3.71,33,65,15.1,29.7
5,13,227,3.47,38,82,16.7,36.1
5,14,205,3.35,45,79,22.0,38.5
5,15,206,3.5,31,69,15.0,33.5
5,16,220,3.44,41,78,18.6,35.5
5,17,230,3.6,28,73,12.2,31.7
5,18,218,3.79,25,59,11.5,27.1
5,19,200,3.16,49,80,24.5,40.0
5,20,188,3.48,31,61,16.5,32.4
5,21,203,3.37,36,70,17.7,34.5
5,22,226,3.46,39,73,17.3,32.3
5,23,250,3.52,39,87,15.6,34.8
5,24,224,3.62,42,68,18.8,30.4
5,25,224,3.51,42,80,18.8,35.7
5,26,239,3.43,42,85,17.6,35.6
5,27,193,3.4,40,74,20.7,38.3
5,28,200,3.48,35,66,17.5,33.0
5,29,204,3.42,39,67,19.1,32.8
5,30,207,3.59,28,61,13.5,29.5
5,31,208,3.43,43,73,20.7,35.1
5,32,233,3.54,37,79,15.9,33.9
5,33,233,3.61,37,61,15.9,26.2
5,34,221,3.63,33,67,14.9,30.3
5,35,196,3.52,30,62,15.3,31.6
5,36,239,3.42,49,84,20.5,35.1
5,37,219,3.47,34,73,15.5,33.3
5,38,206,3.5,33,67,16.0,32.5
5,39,214,3.63,30,68,14.0,31.8
5,40,216,3.67,24,70,11.1,32.4
5,41,214,3.5,31,66,14.5,30.8
5,42,211,3.46,33,69,15.6,32.7
5,43,231,3.35,45,79,19.5,34.2
5,44,221,3.58,36,74,16.3,33.5
5,45,210,3.39,36,77,17.1,36.7
5,46,204,3.58,25,68,12.3,33.3
5,47,208,3.33,39,78,18.8,37.5
5,48,221,3.6,33,66,14.9,29.9
5,49,207,3.77,20,54,9.7,26.1
5,50,185,3.56,32,62,17.3,33.5
5,51,200,3.4,38,66,19.0,33.0
5,52,195,3.67,25,58,12.8,29.7
5,53,226,3.32,44,91,19.5,40.3
5,54,205,3.45,37,77,18.0,37.6
5,55,215,3.5,41,69,19.1,32.1
5,56,199,3.43,43,69,21.6,34.7
5,57,221,3.5,43,73,19.5,33.0
5,58,206,3.41,39,73,18.9,35.4
5,59,245,3.71,31,67,12.7,27.3
5,60,199,3.48,35,67,17.6,33.7
5,61,206,3.46,35,72,17.0,35.0
5,62,244,3.4,35,87,14.3,35.7
5,63,196,3.65,26,53,13.3,27.0
5,64,209,3.46,36,73,17.2,34.9
5,65,242,3.5,42,81,17.4,33.5
5,66,209,3.47,31,69,14.8,33.0
5,67,219,3.49,36,75,16.4,34.2
5,68,237,3.42,44,88,18.6,37.1
5,69,205,3.32,38,75,18.5,36.6
5,70,195,3.57,30,62,15.4,31.8
5,71,210,3.6,29,66,13.8,31.4
5,72,211,3.37,39,74,18.5,35.1
5,73,204,3.64,33,60,16.2,29.4
5,74,196,3.56,30,58,15.3,29.6
5,75,221,3.46,39,76,17.6,34.4
5,76,224,3.47,36,69,16.1,30.8
5,77,193,3.63,33,56,17.1,29.0
5,78,234,3.44,34,82,14.5,35.0
5,79,216,3.47,37,73,17.1,33.8
6,1,230,3.7,37,65,16.1,28.3
6,2,213,3.69,21,67,9.9,31.5
6,3,215,3.55,37,69,17.2,32.1
6,4,194,3.36,34,67,17.5,34.5
6,5,236,3.4,39,84,16.5,35.6
6,6,223,3.6,40,71,17.9,31.8
6,7,218,3.44,39,68,17.9,31.2
6,8,237,3.48,44,84,18.6,35.4
6,9,203,3.59,28,61,13.8,30.0
6,10,209,3.46,36,71,17.2,34.0
6,11,227,3.75,28,57,12.3,25.1
6,12,221,3.43,36,68,16.3,30.8
6,13,233,3.58,37,70,15.9,30.0
6,14,242,3.35,48,90,19.8,37.2
6,15,220,3.8,25,58,11.4,26.4
6,16,197,3.5,33,66,16.8,33.5
6,17,238,3.53,44,79,18.5,33.2
6,18,228,3.3,44,87,19.3,38.2
6,19,190,3.32,35,70,18.4,36.8
6,20,251,3.49,43,87,17.1,34.7
6,21,200,3.54,37,67,18.5,33.5
6,22,231,3.42,42,77,18.2,33.3
6,23,217,3.65,31,65,14.3,30.0
6,24,234,3.5,29,78,12.4,33.3
6,25,237,3.32,45,95,19.0,40.1
6,26,219,3.41,42,82,19.2,37.4
6,27,209,3.52,36,72,17.2,34.4
6,28,228,3.33,40,85,17.5,37.3
6,29,185,3.45,31,58,16.8,31.4
6,30,218,3.52,30,71,13.8,32.6
6,31,237,3.39,44,84,18.6,35.4
6,32,211,3.42,35,71,16.6,33.6
6,33,228,3.54,33,69,14.5,30.3
6,34,201,3.54,36,66,17.9,32.8
6,35,222,3.5,41,79,18.5,35.6
6,36,221,3.54,38,73,17.2,33.0
6,37,231,3.55,42,75,18.2,32.5
6,38,209,3.48,31,78,14.8,37.3
6,39,235,3.47,45,80,19.1,34.0
6,40,204,3.68,32,56,15.7,27.5
6,41,198,3.64,27,64,13.6,32.3
6,42,213,3.59,38,69,17.8,32.4
6,43,230,3.34,45,83,19.6,36.1
6,44,211,3.66,28,67,13.3,31.8
6,45,220,3.46,40,82,18.2,37.3
6,46,212,3.59,31,59,14.6,27.8
6,47,242,3.34,42,83,17.4,34.3
6,48,219,3.56,33,71,15.1,32.4
6,49,220,3.45,34,85,15.5,38.6
6,50,197,3.4,39,66,19.8,33.5
6,51,235,3.35,45,89,19.1,37.9
6,52,223,3.47,47,76,21.1,34.1
6,53,214,3.49,41,71,19.2,33.2
6,54,187,3.52,26,67,13.9,35.8
6,55,219,3.58,38,73,17.4,33.3
6,56,205,3.64,26,61,12.7,29.8
6,57,219,3.48,35,76,16.0,34.7
6,58,226,3.52,33,75,14.6,33.2
6,59,236,3.61,39,77,16.5,32.6
6,60,248,3.51,44,84,17.7,33.9
6,61,237,3.54,42,79,17.7,33.3
6,62,226,3.39,42,76,18.6,33.6
6,63,220,3.43,33,78,15.0,35.5
6,64,234,3.31,37,80,15.8,34.2
6,65,209,3.4,41,65,19.6,31.1
6,66,216,3.6,33,69,15.3,31.9
6,67,196,3.39,38,64,19.4,32.7
6,68,202,3.55,37,59,18.3,29.2
6,69,209,3.49,27,66,12.9,31.6
6,70,205,3.37,36,79,17.6,38.5
6,71,218,3.43,43,76,19.7,34.9
6,72,212,3.65,35,66,16.5,31.1
6,73,218,3.61,32,73,14.7,33.5
6,74,214,3.61,23,67,10.7,31.3
6,75,209,3.65,28,62,13.4,29.7
6,76,207,3.48,36,71,17.4,34.3
6,77,210,3.46,37,76,17.6,36.2
6,78,215,3.54,33,69,15.3,32.1
6,79,217,3.41,43,77,19.8,35.5
7,1,210,3.37,41,75,19.5,35.7
7,2,226,3.58,35,66,15.5,29.2
7,3,209,3.29,44,75,21.1,35.9
7,4,193,3.38,29,70,15.0,36.3
7,5,187,3.51,28,57,15.0,30.5
7,6,201,3.54,30,62,14.9,30.8
7,7,197,3.49,34,74,17.3,37.6
7,8,219,3.37,42,85,19.2,38.8
7,9,209,3.48,34,73,16.3,34.9
7,10,221,3.36,41,83,18.6,37.6
7,11,192,3.42,26,70,13.5,36.5
7,12,233,3.47,34,82,14.6,35.2
7,13,212,3.42,41,78,19.3,36.8
7,14,183,3.43,23,68,12.6,37.2
7,15,211,3.51,28,74,13.3,35.1
7,16,198,3.42,29,59,14.6,29.8
7,17,228,3.63,43,71,18.9,31.1
7,18,216,3.39,44,74,20.4,34.3
7,19,228,3.45,40,77,17.5,33.8
7,20,213,3.61,35,69,16.4,32.4
7,21,215,3.53,37,66,17.2,30.7
7,22,209,3.42,33,70,15.8,33.5
7,23,226,3.63,39,64,17.3,28.3
7,24,200,3.6,35,64,17.5,32.0
7,25,216,3.45,47,78,21.8,36.1
7,26,191,3.51,37,64,19.4,33.5
7,27,181,3.49,28,56,15.5,30.9
7,28,196,3.46,35,70,17.9,35.7
7,29,200,3.32,40,74,20.0,37.0
7,30,220,3.35,37,73,16.8,33.2
7,31,209,3.44,37,74,17.7,35.4
7,32,186,3.78,16,52,8.6,28.0
7,33,223,3.5,35,70,15.7,31.4
7,34,228,3.49,41,80,18.0,35.1
7,35,189,3.69,23,56,12.2,29.6
7,36,211,3.5,31,66,14.7,31.3
7,37,235,3.66,39,61,16.6,26.0
7,38,190,3.48,36,62,18.9,32.6
7,39,189,3.69,21,53,11.1,28.0
7,40,221,3.43,38,75,17.2,33.9
7,41,196,3.52,31,62,15.8,31.6
7,42,195,3.47,25,66,12.8,33.8
7,43,189,3.57,30,64,15.9,33.9
7,44,208,3.53,31,67,14.9,32.2
7,45,209,3.41,35,75,16.7,35.9
7,46,210,3.61,33,70,15.7,33.3
7,47,201,3.41,38,76,18.9,37.8
7,48,195,3.39,39,74,20.0,37.9
7,49,235,3.59,38,82,16.2,34.9
7,50,197,3.51,30,65,15.2,33.0
7,51,194,3.64,31,56,16.0,28.9
7,52,229,3.49,44,72,19.2,31.4
7,53,216,3.6,34,64,15.7,29.6
7,54,194,3.66,25,57,12.9,29.4
7,55,217,3.65,34,70,15.7,32.3
7,56,191,3.55,38,66,19.9,34.6
7,57,215,3.48,33,74,15.3,34.4
7,58,197,3.65,33,57,16.8,28.9
7,59,191,3.4,37,75,19.4,39.3
7,60,218,3.58,33,72,15.1,33.0
7,61,223,3.46,37,85,16.6,38.1
7,62,214,3.57,38,68,17.8,31.8
7,63,210,3.34,45,78,21.4,37.1
7,64,211,3.55,33,68,15.6,32.2
7,65,196,3.62,33,62,16.8,31.6
7,66,198,3.62,32,63,16.2,31.8
7,67,219,3.41,37,75,16.9,34.2
7,68,218,3.59,38,63,17.4,28.9
7,69,211,3.63,36,64,17.1,30.3
7,70,213,3.45,34,67,16.0,31.5
7,71,189,3.42,33,71,17.5,37.6
7,72,184,3.51,36,63,19.6,34.2
7,73,203,3.39,35,75,17.2,36.9
7,74,195,3.56,27,62,13.8,31.8
7,75,201,3.46,28,69,13.9,34.3
7,76,203,3.31,36,69,17.7,34.0
7,77,243,3.49,41,78,16.9,32.1
7,78,249,3.51,42,83,16.9,33.3
7,79,230,3.38,39,79,17.0,34.3
8,1,232,3.53,37,76,15.9,32.8
8,2,219,3.55,36,66,16.4,30.1
8,3,206,3.34,39,68,18.9,33.0
8,4,203,3.47,31,63,15.3,31.0
8,5,222,3.35,40,80,18.0,36.0
8,6,214,3.41,33,74,15.4,34.6
8,7,214,3.59,34,71,15.9,33.2
8,8,176,3.51,29,60,16.5,34.1
8,9,197,3.52,33,61,16.8,31.0
8,10,215,3.59,37,65,17.2,30.2
8,11,240,3.26,49,91,20.4,37.9
8,12,213,3.67,37,72,17.4,33.8
8,13,225,3.76,27,62,12.0,27.6
8,14,258,3.5,37,85,14.3,32.9
8,15,239,3.7,30,69,12.6,28.9
8,16,206,3.62,34,56,16.5,27.2
8,17,240,3.6,42,77,17.5,32.1
8,18,220,3.6,32,73,14.5,33.2
8,19,232,3.71,33,70,14.2,30.2
8,20,200,3.32,47,77,23.5,38.5
8,21,211,3.46,36,74,17.1,35.1
8,22,227,3.42,35,78,15.4,34.4
8,23,219,3.4,43,72,19.6,32.9
8,24,209,3.4,40,75,19.1,35.9
8,25,220,3.51,31,74,14.1,33.6
8,26,191,3.37,44,68,23.0,35.6
8,27,199,3.38,32,66,16.1,33.2
8,28,226,3.54,28,67,12.4,29.6
8,29,249,3.55,35,84,14.1,33.7
8,30,207,3.47,32,79,15.5,38.2
8,31,219,3.64,31,61,14.2,27.9
8,32,218,3.66,46,65,21.1,29.8
8,33,214,3.67,34,57,15.9,26.6
8,34,232,3.66,38,70,16.4,30.2
8,35,218,3.41,39,73,17.9,33.5
8,36,236,3.47,44,77,18.6,32.6
8,37,180,3.37,34,64,18.9,35.6
8,38,209,3.61,29,61,13.9,29.2
8,39,187,3.52,28,67,15.0,35.8
8,40,241,3.54,43,81,17.8,33.6
8,41,218,3.47,36,66,16.5,30.3
8,42,241,3.58,35,73,14.5,30.3
8,43,203,3.59,25,62,12.3,30.5
8,44,240,3.6,33,72,13.8,30.0
8,45,232,3.47,37,82,15.9,35.3
8,46,196,3.49,32,65,16.3,33.2
8,47,215,3.63,32,65,14.9,30.2
8,48,212,3.26,45,85,21.2,40.1
8,49,183,3.51,25,61,13.7,33.3
8,50,214,3.32,44,87,20.6,40.7
8,51,210,3.41,36,76,17.1,36.2
8,52,215,3.31,38,82,17.7,38.1
8,53,215,3.22,43,89,20.0,41.4
8,54,209,3.51,33,75,15.8,35.9
8,55,206,3.53,32,64,15.5,31.1
8,56,213,3.44,35,76,16.4,35.7
8,57,210,3.48,38,70,18.1,33.3
8,58,199,3.41,38,68,19.1,34.2
8,59,215,3.39,40,76,18.6,35.3
8,60,221,3.41,34,79,15.4,35.7
8,61,202,3.5,33,75,16.3,37.1
8,62,211,3.77,31,65,14.7,30.8
8,63,214,3.45,39,73,18.2,34.1
8,64,224,3.4,43,85,19.2,37.9
8,65,199,3.54,30,68,15.1,34.2
8,66,215,3.53,35,71,16.3,33.0
8,67,239,3.53,48,76,20.1,31.8
8,68,201,3.44,28,75,13.9,37.3
8,69,206,3.56,40,72,19.4,35.0
8,70,200,3.44,30,60,15.0,30.0
8,71,206,3.68,38,64,18.4,31.1
8,72,229,3.46,37,74,16.2,32.3
8,73,194,3.8,27,51,13.9,26.3
8,74,194,3.29,36,76,18.6,39.2
8,75,220,3.32,42,85,19.1,38.6
8,76,203,3.36,38,70,18.7,34.5
8,77,207,3.67,20,60,9.7,29.0
8,78,200,3.56,41,68,20.5,34.0
