jyo_cd,jyo_name,course,jyo_races,jyo_course_avg_rank,jyo_course_win_count,jyo_course_win_pct
21,芦屋,2,2675,3.1,422,15.8
21,芦屋,3,2676,3.38,311,11.6
21,芦屋,4,2675,3.82,219,8.2
21,芦屋,5,2676,4.23,153,5.7
21,芦屋,6,2675,4.77,100,3.7
22,福岡,1,2566,1.68,1438,56.0
22,福岡,2,2565,3.09,384,15.0
22,福岡,3,2566,3.37,297,11.6
22,福岡,4,2566,3.86,200,7.8
22,福岡,5,2566,4.25,151,5.9
22,福岡,6,2566,4.74,97,3.8
23,唐津,1,2717,1.74,1470,54.1
23,唐津,2,2718,3.09,405,14.9
23,唐津,3,2717,3.34,329,12.1
23,唐津,4,2718,3.85,235,8.6
23,唐津,5,2716,4.23,176,6.5
23,唐津,6,2718,4.74,104,3.8
24,大村,1,3101,1.7,1693,54.6
24,大村,2,3099,3.09,455,14.7
24,大村,3,3099,3.37,387,12.5
24,大村,4,3101,3.82,263,8.5
24,大村,5,3101,4.25,202,6.5
24,大村,6,3099,4.76,101,3.3
